"aar";"yrke_grovgruppe";"yrke_fingruppe";"yrkeskode";"yrke";"yrkesbetegnelse";"isco_versjon";"antall_arbeidssokere"
"2013";"Reiseliv og transport";"Hovmestere, servitører og hjelpepersonell";"5131";"Servitører";"Hovmester, Kelner, Lunsjvert/-vertinne, Lærling (servitør), Restaurantmedarbeider (servitør), Servitør, Sommelier";"ISCO-08";"1707"
"2013";"Reiseliv og transport";"Hovmestere, servitører og hjelpepersonell";"5132";"Bartendere";"Barista, Barmedarbeider, Barsjef, Bartender";"ISCO-08";"506"
"2013";"Serviceyrker og annet arbeid";"Velvære";"5141";"Frisører";"Damefrisør, Frisør, Frisørmester, Herrefrisør, Lærling (frisør)";"ISCO-08";"503"
"2013";"Serviceyrker og annet arbeid";"Velvære";"5142";"Kosmetologer mv.";"Fotterapeut, Hudpleier, Kosmetolog, Kosmetolog mv., Kroppskunstner, Lærling (herre-/damefrisør), Massør, Neglskulptør, Piercingartist, Slankevert, Slankevert/-vertinne, Sminkør";"ISCO-08";"228"
"2013";"Serviceyrker og annet arbeid";"Rengjøring";"5151";"Renholdsledere i bedrifter";"Arbeidsleder (renhold), Avdelingsleder (hjemmetjenesten), Renholdskonsulent, Renholdsleder, Renholdsleder i bedrifter";"ISCO-08";"35"
"2013";"Serviceyrker og annet arbeid";"Rengjøring";"5152";"Husholdere";"Husholder, Internatleder";"ISCO-08";"25"
"2013";"Serviceyrker og annet arbeid";"Vakthold og vaktmestere";"5153";"Vaktmestere";"Assisterende vaktmester, Driftsoperatør (idrettsanlegg), Kirketjener, Lærling (driftsoperatør idrettsanlegg), Vaktmester, Vaktmesterassistent, Vedlikeholdsarbeider (vaktmesterarbeid)";"ISCO-08";"645"
"2013";"Serviceyrker og annet arbeid";"Annet arbeid";"5161";"Astrologer mv.";"*";"ISCO-08";"*"
"2013";"Serviceyrker og annet arbeid";"Annet arbeid";"5163";"Begravelsesbyrå- og krematoriemedarbeidere";"Begravelsesbyrå- og krematoriemedarbeider, Begravelsesbyråassistent, Begravelsesbyråmedarbeider, Gravferdskonsulent, Krematør";"ISCO-08";"14"
"2013";"Serviceyrker og annet arbeid";"Annet arbeid";"5164";"Dyrepassere og -trenere mv.";"Dyrepasser, Dyrepasser og -trener mv., Førerhundtrener";"ISCO-08";"17"
